nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,biography,birthday,deathday,tmdb_id,known_for_department,place_of_birth,popularity,profile_photo
nm0706218,Bruno Raffaelli,1950.0,,actor,"tt26446278,tt7252940,tt27548095,tt0103442",Inconnu,1950-01-04,,185270.0,Acting,"Avignon, Vaucluse, France",0.4635,https://image.tmdb.org/t/p/w500//1yMD6BTvxSk0CjZ4jUr3SZMEkJQ.jpg
nm0706776,Farida Rahouadj,1965.0,,"actress,soundtrack,archive_footage","tt0420555,tt22795090,tt4075386,tt6190050",Inconnu,,,41037.0,Acting,Inconnu,0.6377,https://image.tmdb.org/t/p/w500//1zTWRNZ62exUkBA0O81sxGZ4auS.jpg
nm0706842,Mel Raido,1977.0,,"actor,producer","tt3569230,tt2364897,tt0856778,tt1492179",Inconnu,1977-01-01,,76943.0,Acting,Jamaica,1.4265,https://image.tmdb.org/t/p/w500//hirna0712cGcycMmN6SN5wW7RSP.jpg
nm0706895,Lucien Raimbourg,1903.0,1973.0,"actor,miscellaneous,archive_footage","tt0167706,tt0061369,tt0053638,tt0049063","Lucien Raimbourg (1903–1973) was a French film, stage and television actor. He appeared in the original performance of Samuel Beckett's Waiting for Godot.

Source: Article ""Lucien Raimbourg"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1903-09-14,1973-02-20,34619.0,Acting,"Villeneuve-Saint-Georges, Val-de-Marne, France",0.4432,https://image.tmdb.org/t/p/w500//al9rg1RGdW7z1LAu6kGdsCIzSUS.jpg
nm0706921,Ruggero Raimondi,1941.0,,"actor,soundtrack","tt0087034,tt0079063,tt0096968,tt0086542","Ruggero Raimondi (born 3 October 1941) is an Italian bass-baritone opera singer who has also appeared in motion pictures.

Ruggero Raimondi was born in Bologna, Italy, during World War II. His voice matured early into its adult timbre, and at the age of 15, he auditioned for conductor Francesco Molinari-Pradelli, who encouraged him to pursue an operatic career. He began vocal studies with Ettore Campogalliani, and was accepted at age 16 as a student at the Giuseppe Verdi Conservatory in Milan. He then continued his studies in Rome, under the guidance of Teresa Pediconi and Armando Piervenanzi.

After having won the National Competition for young opera singers in Spoleto, he made his debut in the same city in the role of Colline in La bohème in the Festival dei Due Mondi. Subsequently, an opportunity arose for him at the Teatro dell'Opera in Rome when he was called upon to substitute in the role of Procida in Giuseppe Verdi's I vespri siciliani, and he received enormous success from the public and the critics. The young singer was very shy and stiff at first, but his early directors helped him, and he was soon an accomplished opera actor.

Raimondi's career soon extended to the major opera houses in Italy, such as La Fenice in Venice, the Teatro Regio in Turin, Teatro Comunale in Florence and abroad, beginning with the Glyndebourne Festival (Don Giovanni in 1969). His La Scala debut was as Timur in Turandot in 1968, his Metropolitan Opera debut was as Silva in Ernani in 1970, and his Covent Garden debut was as Fiesco in Simon Boccanegra in 1972. In 1975, he made his Paris Opera debut as Procida, followed by the title role in Boris Godunov, and his Salzburg Festival debut in 1980 as the King in Aida. In 1986, he first directed a production of Don Giovanni, and decided to continue his career as a director as well.

Some of his most important roles have been King Philip in Verdi's Don Carlos; Fiesco; the title roles in Boris Godunov (including the Andrzej Żuławski film) and Attila; Silva; Escamillo in Bizet's Carmen (including the Francesco Rosi film, 1984, with Plácido Domingo and Julia Migenes); the title role in Don Giovanni (including the Joseph Losey film, 1979); Count Almaviva in The Marriage of Figaro; and Don Alfonso in Così fan tutte; the title role in Don Quichotte by Massenet; and Scarpia in a recording of Tosca later filmed live from Rome, with Plácido Domingo and Catherine Malfitano, conducted by Zubin Mehta. He also made the television film Six Characters in Search of a Singer.[citation needed] In 2008, Raimondi made his television debut in the mini-series Le Sanglot des anges on French TV, in which he played the role of an Italian opera singer. In July 2011 he played the role of Pagano in Verdi's I Lombardi alla prima crociata on the rooftop of Milan Cathedral. The concert was organized by the Veneranda Fabbrica del Duomo di Milano to celebrate the 150th anniversary of Italian unification.

Source: Article ""Ruggero Raimondi"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1941-10-03,,87269.0,Acting,"Bologna, Emilia-Romagna, Italy",0.5153,https://image.tmdb.org/t/p/w500//uoPx69IpqMwPFZYqYC61NXfme2k.jpg
nm0707466,Pierre-Loup Rajot,1958.0,,"actor,director,writer","tt0116699,tt1590185,tt0088156,tt2199778","Pierre-Loup Rajot (born 9 February 1958) is a French stage, television and film actor, director, producer and screenwriter. He is a 1985 César Award recipient for Most Promising Actor for his performance in the 1984 comedy film Souvenirs, Souvenirs.

Born in Ambert, Pierre-Loup Rajot later studied environmental science and technology at university. Following his graduation from university, he was a pupil of Francis Huster at the Cours Florent and attended Patrice Chéreau's theater courses at the Théâtre Nanterre-Amandiers in Nanterre where Chéreau directed him in roles of four Shakespeare's plays (Love's Labours Lost; As You Like It; Much Ado About Nothing; Twelfth Night). He made his screen debut in the 1982 Maurice Pialat directed film À Nos Amours.

In 1985 Rajot won the César Award for Most Promising Actor at the 10th César Awards for his performance in the 1984 comedy film Souvenirs, Souvenirs, directed by Ariel Zeitoun. He has appeared in films opposite Yves Montand in Garçon! (1983), Jeanne Moreau in La nuit de l'océan (1987), Michel Aumont in Le petit Marguery (1995) and Audrey Tautou in Voyous voyelles (2000).

Rajot has also appeared in a number of French television films and serials. He is possibly best known for his leading role as Hugo Chalonges on the TF1 crime-drama series R.I.S, police scientifique from 2005 to 2010. He also appeared as the character Fiaux in the television mini-series The Blue Bicycle alongside Laetitia Casta (2000) and again with Casta, playing her father in the 2008 comedy-drama film Nés en 68.

In addition to acting, Rajot has worked as a director, producer and screenwriter.

Pierre-Loup Rajot is married to actress Céline Rajot (née Guignard) and is the father of three children: Mathis, Alma and Orfeo.

Source: Article ""Pierre-Loup Rajot"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1958-02-09,,21578.0,Acting,"Ambert, Puy-de-Dôme, France",0.7134,https://image.tmdb.org/t/p/w500//bdPzeiMZGKfTCpDc2KtAvsyTxwa.jpg
nm0707915,Jacques Ramade,1928.0,2013.0,"actor,archive_footage","tt1673702,tt0167705,tt0079252,tt0076242",Inconnu,1928-11-11,2013-07-16,145679.0,Acting,"Noyon, Oise, France",0.1327,https://image.tmdb.org/t/p/w500//6lU98qW79wHTh0lnTv4zUVYhdcx.jpg
nm0708053,Jean-Pierre Rambal,1931.0,2001.0,"actor,archive_footage","tt0168316,tt0076808,tt0070354,tt0303166",Inconnu,1931-09-13,2001-09-18,65516.0,Acting,"Marseille, Bouches-du-Rhône, France",0.2489,https://image.tmdb.org/t/p/w500//eTXSoKBVroc0NMeoEw7pcNzO80Q.jpg
nm0709455,Doug Rand,1957.0,,"actor,miscellaneous,director","tt0293662,tt2239822",Inconnu,,,61609.0,Acting,Inconnu,1.9997,https://image.tmdb.org/t/p/w500//kBDawasRQXDvZThX75bMEgl1xcd.jpg
nm0710440,Marcelle Ranson-Hervé,1929.0,2020.0,"actress,archive_sound","tt0275822,tt0309824,tt0186827,tt0070356","Marcelle Ranson-Hervé (10 October 1929 – 3 April 2020) was a French actress.

Ranson-Hervé was born in Marseille. Her father, Louis Rançon, was an orchestra conductor, who conducted musicians such as Annie Cordy, Bourvil, and Georges Guétary. Her grandfather, Anthonin Rançon, ran a movie theater in Auriol, which hosted Fernandel.

Ranson-Hervé entered the Conservatoire de Paris in 1949, and was in a graduating class alongside Jean Rochefort and Jean-Paul Belmondo. She had a long career as an actress, and gave music lessons at the Conservatoire de Rosny-sous-Bois.

Marcelle Ranson-Hervé died on 3 April 2020 in Marseille at the age of 90 due to COVID-19.

Source: Article ""Marcelle Ranson-Hervé"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1929-10-10,2020-04-03,44406.0,Acting,"Marseille, Bouches-du-Rhône, France",0.2327,https://image.tmdb.org/t/p/w500//9rwEaaK2RXOcpab5XdcEsI4hYXV.jpg
nm0710919,Jean-Paul Rappeneau,1932.0,,"writer,director,assistant_director","tt0099334,tt0059872,tt0310778,tt0113362","Jean-Paul Rappeneau (born 8 April 1932) is a French film director and screenwriter.

He started out in film as an assistant and screenwriter collaborating with Louis Malle on Zazie dans le métro in 1960 and Vie privée in 1961. In 1964, he was co-screenwriter for L'Homme de Rio, which starred Jean-Paul Belmondo.

The first film that he both wrote and directed was A Matter of Resistance in 1965. Although it was a great critical and popular success, he did not make another film until 1971, when he directed Les Mariés de l'an II, again starring Belmondo and Marlène Jobert.

Since 1975, Rappeneau has written only for his own films, including Le Sauvage, starring Yves Montand and Tout feu, tout flamme (1981), again with Montand, who co-starred with Isabelle Adjani.

In 1990, Rappeneau directed a deluxe Technicolor film version of Cyrano de Bergerac, his adaptation of the classic French play by Edmond Rostand, starring Gérard Depardieu. Rappeneau's film version is the most elaborate film version of the play ever made, and one of the most expensive French films ever produced. It is the only rendition of the play in the original French to be released widely. At the 1991 César Awards, Rappeneau won the César Award for Best Director and César Award for Best Film.

The 2003 comedy Bon voyage, co-written with Patrick Modiano, again starred Depardieu, this time with Isabelle Adjani. The film was nominated 11 times at the 2004 César Awards.

Source: Article ""Jean-Paul Rappeneau"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1932-04-08,,25950.0,Writing,"Auxerre, Yonne, France",1.3322,https://image.tmdb.org/t/p/w500//qWYJCWgbLlenHmZyBDlmC4zS2TL.jpg
nm0710920,Élisabeth Rappeneau,1940.0,2020.0,"script_department,director,writer","tt0095184,tt2016920,tt0073663,tt0180901","Élisabeth Rappeneau (19 January 1940 – 2 January 2020) was a French film director and screenwriter.

She was the sister of the French director Jean-Paul Rappeneau and the aunt of musician Martin Rappeneau and screenwriter Julien Rappeneau.

Source: Article ""Élisabeth Rappeneau"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1940-01-19,2020-01-02,26360.0,Directing,"Auxerre, Yonne, France",0.7346,https://image.tmdb.org/t/p/w500//pbm9HSF2z82A9KJXFtoQB0MZfl1.jpg
nm0711256,Michel Raskine,1951.0,,"actor,soundtrack","tt0123923,tt0092823,tt0429200,tt0218289",Inconnu,,,572238.0,Acting,Inconnu,0.1039,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0712205,Héloïse Rauth,1978.0,,actress,"tt0113247,tt0107642,tt0220636",Inconnu,1978-05-06,,5424.0,Acting,"Charenton-le-Pont, Val-de-Marne, France",1.0599,https://image.tmdb.org/t/p/w500//vXfAbfJTvH92srHQR4lAJIYZKTB.jpg
nm0712208,Julie-Anne Roth,1973.0,,"actress,director,writer","tt0151137,tt3992862,tt0286917,tt0110963","Julie-Anne Roth (born 31 March 1973) is a French actress. From 1996 to 1999 Roth studied at the CNSAD. She appeared in more than sixty films since 1989.

Source: Article ""Julie-Anne Roth"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1973-03-31,,21577.0,Acting,"Charenton-le-Pont, Val-de-Marne, France",1.0686,https://image.tmdb.org/t/p/w500//6IrO6LuGHcyx0FWWnF4BWkO1jC2.jpg
nm0712255,Blanche Ravalec,1954.0,,"actress,miscellaneous,archive_footage","tt0079574,tt0484191,tt0466510,tt0086557","Blanche Ravalec (born 1954) is a French actress, dubbing artist, and former stewardess.

Ravalec is well known for her role as Dolly, Jaws' girlfriend in the 1979 James Bond film Moonraker. Beyond this, however, she has made over 70 appearances in French-language TV and film. Among her English-to-French dubbing work is as ""Christina McKinney"" (Ashley Jensen) in Ugly Betty, as ""Emily Waltham"" (Helen Baxendale) in Friends, and as ""Bree Van de Kamp"" (Marcia Cross) in Desperate Housewives. She also provides voices for the French dub of Thomas the Tank Engine and Friends.

Source: Article ""Blanche Ravalec"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1954-09-19,,10483.0,Acting,France,0.4845,https://image.tmdb.org/t/p/w500//eT6LkwsgbHiPxluOwfzraJB4p0i.jpg
nm0712257,Vincent Ravalec,1962.0,,"writer,director,actor","tt0126830,tt0310016,tt1130988,tt11832804",Inconnu,,,1123352.0,Writing,Inconnu,0.2174,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0714229,Cécile Rebboah,1975.0,,actress,"tt10408242,tt2261749,tt0174376,tt3178536",Inconnu,1975-03-01,,144622.0,Acting,"Paris, France",0.3899,https://image.tmdb.org/t/p/w500//jrCRKfI8gpCZLzhzqFdY7okgK7i.jpg
nm0714235,Philippe Rebbot,,,"actor,writer,production_manager","tt8792898,tt12072636,tt1593821,tt35329512","Philippe Rebbot is a French actor. He appeared in more than eighty films since 1998 and starred in several films including The Aquatic Effect, Une famille à louer and Northern Wind.

Source: Article ""Philippe Rebbot"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1964-11-30,,586191.0,Acting,"Casablanca, Morocco",1.5979,https://image.tmdb.org/t/p/w500//fgPk5jEKKDSFFrfYhff4dXcx9PA.jpg
nm0714534,Aurélien Recoing,1958.0,,"actor,director,sound_department","tt2278871,tt0279065,tt0310203,tt0375553","Aurélien Recoing (born 5 May 1958) is a French actor and stage director.

Aurélien Recoing is the son of Alain Recoing (puppeteer), and the brother of Éloi Recoing (director and translator), Blaise Recoing (actor and musician), and David Recoing (pianist, composer).

Born in Paris on May 5, 1958, Aurélien Recoing began training to be an actor in 1974 at Cours Florent, and studied at Quartier d'Ivry. In 1977, the actor-in-training, who spoke fluent English and a little Russian, joined the Conservatoire national supérieur d'art dramatique in Paris, where he studied under Jean-Pierre Miquel and Antoine Vitez. He has appeared in more than 30 plays and has directed stage performances of works by Thomas Bernhard, Fernando Pessoa and Paul Claudel. He was awarded the Prix Gérard Philipe in 1989.

In 1980, Aurélien Recoing took his first steps into the world of cinema, in Exploits of a Young Don Juan. Finding art-house cinema appealing to him, he worked with Philippe Garrel on Emergency Kisses (Les baisers de secours), and with Laurence Ferreira Barbosa on Modern Life. The actor rose to fame in 2001 thanks to Laurent Cantet's Time Out (L'Emploi du Temps), in which he plays a man who invents a false life to avoid having to tell his friends and family that he has been fired from his job. As he became more and more in demand, he alternated between blockbusters such as Ruby & Quentin and That Woman and art-house films like L'Ennemi naturel and Orlando Vargas. Lending his talents to a number of unusual projects, in 2006 he portrayed a gamblers in 13 Tzameti, Géla Babluani's black-and-white thriller, and also appeared in Forgive Me (Pardonnez-moi), Maïwenn's home-movie style drama. In the same year, the physically imposing actor found himself transported back to 1914 France in Fragments of Antonin, and then to 1959 Kabylia in Florent Emilio Siri's Intimate Enemies. In 2008, he starred in Franck Llopis' Paris Nord-Sud and in La Saison des Orphelins. The following year, he was cast in Gilles Béhat's crime thriller Diamant 13 with Gérard Depardieu, and in Denis Dercourt's Tomorrow at Dawn (Demain dès l'aube).

He has made appearances in The Horde, directed by Yannick Dahan and Benjamin Rocher, Xavier de Choudens' Joseph and the Girl with Jacques Dutronc, and Léon Desclozeaux's Cargo, the Lost Men in 2010. He appeared in Frédéric Schoendoerffer's Switch, as well as in Olias Barco's Kill Me Please, which won the Marc'Aurelio d'Oro for best film at Rome Film Festival in 2010. He also appeared in Abdellatif Kechiche's Blue is the Warmest Colour, which took the Palme d'Or at Cannes. In 2020 he appeared in Adults in the room. An upcoming appearance is in Grand Ciel an Arte Film.

He made his first short film as a director The Rifleman (Un Bon Tireur) which won an Award Winner for Best Drama in 2021. He is developing his first feature film Naked Hands (À Mains Nues) with Sensito Films Productions.

Source: Article ""Aurélien Recoing"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1958-05-05,,15482.0,Acting,"Paris, France",1.841,https://image.tmdb.org/t/p/w500//qFWdIxvq6csxuso0PSiOV6rx49i.jpg
nm0716490,Vincent Regan,1965.0,,"actor,director,writer","tt0416449,tt1735898,tt0332452,tt0800320","Vincent Regan (born May 16, 1965) is a British film and television actor.Regan has over 15 stage roles to his credit, most recently as Achilles in Troilus and Cressida at the Edinburgh International Festival. In association with The Royal Shakespeare Company, the festival presented director Peter Stein's strongly cast and visually striking production. He is famous for Ancient Greece-based films 300, in which he played the Captain, Troy, where he played Eudorus, Achilles' second in command, and Clash of the Titans, in which he played King Cepheus. Regan is also a screenwriter and director, developing projects for his own film company. His script, Come Like Shadows, is an accessible but classic interpretation of Macbeth headlining Sean Bean and Tilda Swinton, will be directed by John Maybury. He also appeared briefly as a sexually confused character in British series The Street.

Description above from the Wikipedia article Vincent Regan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-05-16,,9831.0,Acting,"Swansea, Wales",3.7534,https://image.tmdb.org/t/p/w500//7VHu79GciN5QlQTmWdBS86eE2mu.jpg
nm0716699,Yves Rénier,1942.0,2021.0,"actor,writer,director","tt0166423,tt0095174,tt0054761,tt0166420","Yves Rénier (29 September 1942 – 24 April 2021) was a French actor, director, screenwriter, and voice actor, best known for starring in the long running television series Commissaire Moulin (1976-2006). The cause of his death, in France at age 78, was revealed by his wife to have been due to a heart attack. He reportedly suffered from a cardiac ailment, for which he'd undergone surgery three years prior to his death.

He was the son of dramatist Max Régnier.

Source: Article ""Yves Rénier"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1942-09-29,2021-04-24,24781.0,Acting,"Bern, Switzerland",0.8477,https://image.tmdb.org/t/p/w500//m6Xw9WczPGjuGfKF2AhDj47rYlZ.jpg
nm0716709,Luis Rego,1943.0,,"actor,writer,director","tt0093768,tt0383937,tt0375040,tt0167711","Luis Rego (born 30 May 1943) is a French actor, comedian, writer and director, of Portuguese origins. He was a founding member of music/comedy group Les Charlots which he left after a few years.

Source: Article ""Luis Rego"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1943-05-30,,35919.0,Acting,"Lisbon, Portugal",1.9173,https://image.tmdb.org/t/p/w500//fvH2COBLNgPPXChPAfIdPIucppz.jpg
nm0716901,Aladin Reibel,1960.0,,"actor,writer","tt0196289,tt0329949,tt0299247,tt0349646",Inconnu,1960-05-20,,19387.0,Acting,"Strasbourg, France",0.9321,https://image.tmdb.org/t/p/w500//bn2VnQ2EwDQctHgBPXFIevB7RhV.jpg
nm0717592,Francisco Reiguera,1888.0,1969.0,"actor,writer,director","tt0235893,tt0271428,tt0269653,tt0059719","Francisco Reiguera (November 9, 1899 – March 15, 1969) was a Spanish actor who is best known for playing the title role in Orson Welles’ unfinished film version of Don Quixote. He also appeared in the films Simon of the Desert (1965), Major Dundee (1965) and Guns for San Sebastian (1968).

Description above from the Wikipedia article Francisco Reiguera, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1899-11-09,1969-03-15,108688.0,Acting,"  Madrid, Spain",1.3355,https://image.tmdb.org/t/p/w500//mX0E83iSVdgwAWLZP6RHPqzxJxn.jpg
nm0717709,Kelly Reilly,1977.0,,"actress,producer,archive_footage","tt0414387,tt1020530,tt1907668,tt0988045","Kelly Reilly (born 18 July 1977) is an English actress. Reilly's performance in After Miss Julie at the Donmar Warehouse made her a star of the London stage and earned her a nomination for a Laurence Olivier Theatre Award for Best Actress of 2003. Aged 26, she's the youngest person ever nominated for that award. And, in 2005, she won Best Newcomer Award at the Cannes Film Festival for her role as Wendy in The Russian Dolls (Les Poupées Russes).",1977-07-18,,17521.0,Acting,"Surrey, England, UK",7.7859,https://image.tmdb.org/t/p/w500//gof8bWW9E7MH30GpvA97PwGiIuu.jpg
nm0719135,Simone Renant,1911.0,2004.0,"actress,soundtrack,archive_footage","tt0058203,tt0039739,tt0050950,tt0029394","Simone Renant (19 March 1911 – 29 March 2004) was a French film actress. She appeared in 43 films between 1934 and 1983. She was born in Amiens, France and died in Garches, France.

Description above from the Wikipedia article Simone Renant, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",1911-03-19,2004-03-29,34615.0,Acting,"Amiens, Somme, Picardie, France",1.1233,https://image.tmdb.org/t/p/w500//uCFsiPGebOk3DhL61XXE6ejbnkn.jpg
nm0719220,Francis Renaud,1967.0,,"actor,director,writer","tt0177081,tt12345592,tt0216499,tt0098797","Francis Renaud, (born 27 September 1967 in Thionville, Moselle), is a French film and television actor.

Following his experience of a festival dedicated to sick children at Metzervisse (Moselle) he became a patron of the Association Anim'Metzervisse.

Description above from the Wikipedia article Francis Renaud (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.",1967-09-27,,52346.0,Acting,"Thionville, Moselle, France",1.1175,https://image.tmdb.org/t/p/w500//ihtkdXp9RG8tznS914bUQYKTx1C.jpg
nm0719222,Gilles Renaud,1944.0,,actor,"tt2552026,tt0401071,tt0129175,tt1625015","Gilles Renaud (born 25 September 1944) is a Canadian actor who has starred in cinema and television in Quebec.

In 1983, he received a Genie Award nomination for Best Actor for the film A Day in a Taxi (Une journée en taxi). He is also a two-time Jutra Award nominee for Best Supporting Actor, receiving nods at the 9th Jutra Awards in 2007 for The Secret Life of Happy People (La Vie secrète des gens heureux) and at the 16th Jutra Awards in 2014 for The Dismantling (Le Démantèlement).

In 2016, he appeared in the film Bad Seeds. While heavily involved in that production, he filmed a death scene for his character in his TV series Mémoires Vives, which began airing in 2013. In 2017, he starred in François Girard's film Hochelaga, Land of Souls, as a Montreal archaeologist in search of Hochelaga.",1944-09-25,,81467.0,Acting,"Montréal, Québec, Canada",0.8167,https://image.tmdb.org/t/p/w500//lQprp6pM0i3xxA8MIG9OjkDlnS0.jpg
nm0719224,Isabelle Renauld,1966.0,,actress,"tt0117296,tt0156794,tt0164961,tt0120125","Isabelle Renauld (born 24 November 1966 in Saint-Malo, Ille-et-Vilaine) is a French actress. She trained at the Nanterre Amandiers theatre school directed by Patrice Chéreau from 1985 to 1987. She was made a Knight of the Order of Arts and Letters in January 2010.

Born in Saint-Malo to a pharmacist father and a mother who was an IFOP researcher, her parents divorced when she was 5 years old and she grew up with her mother and her sister, who is 3 years her senior. She quickly developed a passion for theatre and at the age of 16 decided to leave Brittany to devote herself to acting in Paris. She was admitted to the ""free class"" of the Cours Florent in 1984 where she met Pierre Romans who encouraged her to try for the Nanterre Amandiers school which he runs with Patrice Chéreau. She succeeded in the competition when only the top twenty become part of Patrice Chéreau's cast. She learned her trade with Agnes Jaoui, Vincent Pérez, Valeria Bruni Tedeschi, Bruno Todeschini, Marc Citti.

She met Laurent Malet there, who became her companion and the father of her son Théo.

In 1990, she landed the role of Isabelle in L'Opération Corned-Beef alongside Jean Reno and Christian Clavier. She rose to prominence in 1996 with the scandalous Parfait Amour! by Catherine Breillat which earned her the Prix Michel-Simon.

A year later, in 1997, she met Theo Angelopoulos and acted in Eternity and a Day which received the Golden Palm at Cannes in 1998.

She has appeared in three films by François Dupeyron in 1999, 2001 and 2003 (What is life?, Mr. Ibrahim and the Flowers of the Koran, and the House of Officers), two by Philippe Lioret in 2006 and 2011 (Don't Worry, I'm fine and All Our Desires), and two by Catherine Breillat.

She lives in Paris but often returns to Saint-Malo to ""recharge"" and to reconnect with her roots.

Source: Article ""Isabelle Renauld"" from Wikipedia in English, licensed under CC-BY-SA 3.0.",1966-11-24,,6548.0,Acting,"Saint-Malo, Ille-et-Vilaine, France",0.7312,https://image.tmdb.org/t/p/w500//sFCZqQFyxiznqsCIJZ1FPDNqgLQ.jpg
nm0719232,Line Renaud,1928.0,,"actress,writer,miscellaneous","tt0110171,tt1064932,tt14586118,tt1067774","Line Renaud (born Jacqueline Ente on 2 July 1928) is a French singer, actress and AIDS activist.

In her 80 year career, she has appeared in 86 films and TV films, released 25 albums and 114 singles. She has also appeared in 12 plays and written or co-written approximately 20 books. In 2022, she played the titular character in the film Driving Madeleine.

Line Renaud was born in Pont-de-Nieppe on 2 July 1928. Her mother Simone was a shorthand typist; her father was a truck driver during the week but he played the trumpet, on weekends, in a local brass band. Line showed the first signs of her talent in primary school, when at the age of seven she won an amateur competition.

During the Second World War, Jacqueline's father was mobilised, spending five years away from the family. During this time, Jacqueline was brought up by her mother, grandmother and great-grandmother. Her grandmother had a café in Armentières, where she used to sing for passing soldiers.

She auditioned at Conservatoire de Lille, singing songs written by Louis ""Loulou"" Gasté ""Sainte-Madeleine"" and ""Mon âme au diable"", a well-known French composer. At the end of the audition, she was approached by the director of Radio Lille who was looking for a singer. She took the pseudonym of Jacqueline Ray and joined the station singing a repertoire based on the songs by Loulou Gasté.

Line Renaud made her national debut on Radio Luxembourg, singing on a Sunday morning program. After signing a contract with Pathe Marconi, she recorded ""Ma Cabane au Canada"", written by Loulou Gasté, which won le Grand Prix du Disque. She also sang with Yves Montand in the Théâtre de l'Etoile. She toured Europe and Africa extensively, came back to Paris to star at the ABC, and recorded numerous adaptations of American songs such as ""Ma petite folie"", ""Étoile des neiges"" and ""Le Chien dans la vitrine"".

In 1954, while performing at Moulin Rouge, she met Bob Hope and subsequently appeared in five episodes of The Bob Hope Show in the US. During this trip, she also sang in the Waldorf Astoria (New York) and the Cocoanut Grove (Los Angeles), appeared on Johnny Carson, Dinah Shore and Ed Sullivan shows and recorded with Dean Martin the songs ""Relax-Ay-Voo"" and ""Two Sleepy People"".

In 1959, she started a four-year run of Plaisir de Paris for Henri Varna and then went on to perform in a Las Vegas show at Dunes from 1963 to 1965. In 1966 she returned to Paris and the Casino de Paris starring in a new show, Desir de Paris. In 1968, she returned to Las Vegas for a number of performances. In France, in 1973 she created an American show which she toured for two years around the country. She then helped Casino de Paris, threatened by closing, by putting on a show called ‘Paris – Line’ with Loulou Gasté, which ran for four years. ...

Source: Article ""Line Renaud"" from Wikipedia in English, licensed under CC-BY-SA.",1928-07-02,,54167.0,Acting,"Nieppe, Hauts-de-France, France",1.4372,https://image.tmdb.org/t/p/w500//iQhoonlbQCLF9gci8ULFPSPxwkM.jpg
nm0719233,Madeleine Renaud,1900.0,1994.0,"actress,soundtrack,archive_footage","tt0056197,tt0034093,tt0027730,tt0035737","Lucie Madeleine Renaud (French: [ʁəno]; 21 February 1900 – 23 September 1994) was a French actress best remembered for her work in the theatre. She did though appear in several films directed by Jean Grémillon including Remorques (Stormy Waters, 1941) and Lumière d'été (Summer Light, 1943).",1900-02-21,1994-09-23,236906.0,Acting,"Paris, France",0.6458,https://image.tmdb.org/t/p/w500//2V50NFeaAU9AvER0aNVTlrXnbpO.jpg
nm0719334,Ruth Rendell,1930.0,2015.0,"writer,archive_footage","tt0118819,tt0112769,tt0166458,tt0269329","Ruth Barbara Rendell, Baroness Rendell of Babergh, CBE was an English author of thrillers and psychological murder mysteries. Rendell is best known for creating Chief Inspector Wexford.",1930-02-17,2015-05-02,3791.0,Writing,"South Woodford, Essex, England, UK",2.2427,https://image.tmdb.org/t/p/w500//seSjRRA1NC6JZ8hfqw2cSh9FlCW.jpg
nm0719348,Pierre-Paul Renders,1963.0,,"director,assistant_director,writer","tt0262826,tt0402378,tt0261287,tt14061962",Inconnu,,,87690.0,Directing,Inconnu,0.1677,https://i.ibb.co/x8tKqGZC/No-Image-500-750.png
nm0719473,Pascal Rénéric,,,actor,"tt15423224,tt5879998,tt15732372,tt0269499",Inconnu,1976-05-01,,1807099.0,Acting,"Paris, France",0.38,https://image.tmdb.org/t/p/w500//7gRhYSIcrPAvuvSopoSouAmckEa.jpg
